,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
744,,Yes,,1141,Research & Development,11,2,Medical,1,1033,1,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,Y,No,15,3,1,80,0,15,2,1,,0,0,0
745,55,No,Travel_Frequently,135,Research & Development,18,4,Medical,1,1034,,Male,62,,2,Healthcare Representative,2,Married,6385,,3,Y,Yes,14,3,4,80,2,17,3,3,8,7,6,
746,41,No,Non-Travel,247,Research & Development,,1,Life Sciences,,1035,2,Female,55,1,5,Research Director,3,,,20284,1,Y,No,22,4,2,,2,,3,3,21,16,5,10
747,,No,Travel_Rarely,,Sales,3,4,Life Sciences,1,1036,,Male,42,3,2,Sales Executive,4,,6861,4981,8,Y,,,,3,80,0,19,1,3,,,,0
748,26,Yes,,,Sales,29,2,Medical,1,1037,,Male,,1,2,Sales Executive,1,Single,4969,21813,8,Y,No,,3,4,80,0,7,,3,,2,2,2
749,52,Yes,Travel_Rarely,,Sales,,1,Marketing,1,1038,,,57,,5,Manager,4,,,25846,1,Y,No,15,3,4,,1,,,3,,14,6,9
750,,No,Travel_Rarely,1448,Sales,,3,Medical,,1039,,Female,53,4,4,Sales Executive,4,Married,13320,11737,,Y,Yes,18,3,3,80,1,,2,3,,,11,11
751,50,No,Non-Travel,145,,,3,Life Sciences,1,1040,4,Female,95,3,,Sales Executive,3,Married,6347,24920,,Y,No,12,,1,,1,19,3,,18,7,0,13
752,36,Yes,,,Research & Development,16,4,,1,,3,Female,43,4,1,,1,Single,2743,8269,1,Y,No,,3,3,,0,18,1,3,17,13,15,14
753,39,No,Travel_Frequently,945,Research & Development,22,3,Medical,1,1043,4,Female,82,3,3,Manufacturing Director,1,Single,10880,5083,1,Y,Yes,13,3,3,,0,,,3,21,6,2,
754,,No,Non-Travel,1038,Sales,,1,Life Sciences,1,1044,,Female,88,2,1,,4,Single,2342,,0,Y,,19,3,4,80,0,3,2,2,2,,2,
755,45,No,,1234,,11,2,Life Sciences,1,1045,,,90,,,,4,Married,17650,5404,3,Y,No,,3,2,80,1,26,4,4,9,3,1,
756,32,No,Non-Travel,1109,,29,4,Medical,,1046,4,,69,3,1,,3,Single,4025,11135,9,Y,No,12,3,2,80,,10,,3,,7,7,
757,34,No,Travel_Rarely,216,,1,,Marketing,,1047,2,Male,75,4,,Sales Executive,,Divorced,9725,12278,0,Y,No,11,,4,80,1,,2,2,15,1,0,9
758,,No,Travel_Rarely,1089,Sales,,,Technical Degree,1,,2,Male,,3,,Manager,4,,11904,,3,Y,Yes,,3,3,80,1,14,1,1,6,4,0,4
759,45,No,Travel_Rarely,,Human Resources,24,4,Medical,1,1049,2,,36,3,1,Human Resources,2,Single,2177,,,Y,No,16,3,1,80,0,6,3,3,6,,0,4
760,53,No,Travel_Frequently,124,Sales,2,3,,1,1050,3,Female,38,2,,Sales Executive,2,Married,7525,,,Y,No,12,3,1,80,1,30,2,3,15,7,6,12
761,,Yes,Travel_Rarely,660,Research & Development,15,,Other,1,1052,1,Male,,,2,Laboratory Technician,,Divorced,4834,7858,7,Y,,,3,,80,1,9,3,2,,0,0,0
762,,Yes,Travel_Frequently,342,Research & Development,2,3,,1,1053,1,Male,57,3,1,Research Scientist,,,2042,15346,6,,Yes,14,3,2,80,,6,2,3,3,2,1,2
763,34,No,Travel_Rarely,,,10,,Life Sciences,1,1055,3,Female,87,3,,Sales Representative,3,Married,2220,18410,1,Y,,19,3,4,80,,1,2,3,1,1,0,0
764,28,No,Travel_Rarely,1144,Sales,,1,Medical,,1056,4,,74,3,1,Sales Representative,2,Married,1052,23384,1,Y,,22,4,2,80,0,1,5,3,1,,0,0
765,38,No,Travel_Frequently,1186,,3,4,Other,,1060,3,Male,,3,,,3,Married,2821,,3,Y,No,,3,1,80,1,,2,3,2,2,,2
766,50,No,Travel_Rarely,,Research & Development,,4,Medical,,,2,Male,62,,5,Research Director,,Married,19237,12853,2,Y,Yes,11,3,4,80,1,,2,2,8,1,7,7
767,37,No,Travel_Rarely,124,Research & Development,3,3,Other,1,,4,Female,35,3,2,Healthcare Representative,,Single,4107,13848,,Y,No,15,3,,,0,8,3,2,4,3,0,
768,40,No,Travel_Rarely,300,Sales,26,3,Marketing,,,3,Male,74,3,2,,,,8396,,,Y,No,14,3,2,80,1,8,3,2,7,7,7,5
769,26,No,,921,Research & Development,1,1,Medical,1,1068,1,Female,66,2,1,Research Scientist,3,Divorced,,25265,1,Y,No,13,3,3,80,,,5,3,5,3,1,3
770,46,No,Travel_Rarely,430,,1,4,Medical,1,1069,4,Male,40,3,,Research Director,4,Divorced,19627,21445,9,Y,No,17,,,80,,23,0,3,2,2,2,2
771,54,No,Travel_Rarely,,Sales,2,,Life Sciences,1,1070,3,,,,3,,3,Married,10686,8392,6,Y,No,,3,2,80,1,13,4,3,9,,7,0
772,,No,,,Research & Development,,3,Medical,,,1,Female,63,3,1,,3,Married,2942,12154,2,Y,,19,3,2,,,18,4,3,5,4,0,3
773,36,No,Travel_Rarely,,,12,5,Medical,,1073,4,Female,51,2,,Manufacturing Director,4,Single,,,0,Y,No,,3,2,80,0,15,2,2,14,8,7,8
774,55,No,,444,Research & Development,2,1,Medical,1,1074,3,Male,40,2,4,Manager,1,Single,16756,,7,Y,No,15,3,2,80,0,31,3,4,,7,,2
775,,No,Travel_Rarely,415,Sales,25,3,Medical,1,1076,3,Male,79,2,,Sales Executive,4,Divorced,,5268,5,Y,No,13,3,3,80,1,18,5,3,1,,0,0
776,20,Yes,Travel_Frequently,769,Sales,9,3,Marketing,,,4,Female,54,3,1,Sales Representative,4,Single,2323,,1,Y,Yes,14,,2,80,0,2,,3,2,2,0,2
777,21,Yes,Travel_Rarely,1334,Research & Development,10,3,Life Sciences,1,,3,Female,36,2,1,,1,Single,1416,,,Y,No,13,,1,80,0,1,6,2,,0,1,0
778,,No,Travel_Rarely,1003,Research & Development,8,,,,1080,4,,,,,Research Scientist,1,Divorced,4615,21029,8,Y,Yes,23,4,1,80,,19,2,3,,,1,7
779,51,Yes,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1081,1,,34,3,1,Research Scientist,3,,2461,10332,9,Y,,12,3,,,,18,2,,10,0,2,7
780,28,Yes,Non-Travel,1366,Research & Development,24,2,Technical Degree,,1082,,Male,72,2,,Healthcare Representative,1,Single,,12355,1,,No,,3,,80,0,,2,2,10,7,,9
781,26,No,Travel_Rarely,,Research & Development,,,Medical,1,1083,1,Male,59,,1,Laboratory Technician,1,Married,,11141,1,Y,No,16,3,1,,,,2,3,5,3,1,3
782,30,No,,1176,Research & Development,20,3,Other,1,1084,3,,,3,2,Manufacturing Director,1,Married,9957,9096,0,Y,No,,3,3,80,,,,,6,,,2
783,41,No,Travel_Rarely,509,Research & Development,,,Technical Degree,1,,,Female,43,4,1,Research Scientist,,Married,3376,18863,,Y,No,13,3,,,,,3,3,10,6,0,8
784,38,No,Travel_Rarely,330,Research & Development,17,1,Life Sciences,,1088,3,Female,65,2,3,Healthcare Representative,3,,,24608,,Y,No,18,3,1,80,,20,4,2,19,,1,
785,40,No,Travel_Rarely,1492,Research & Development,,4,,1,1092,1,Male,61,3,3,,,Married,10322,26542,4,Y,No,,4,4,80,1,,6,,,10,11,1
786,27,No,,1277,Research & Development,,5,Life Sciences,1,1094,1,Male,87,1,1,Laboratory Technician,3,Married,4621,5869,1,Y,No,,3,4,80,,,4,3,3,,1,2
787,55,No,Travel_Frequently,,Research & Development,2,1,Life Sciences,1,1096,4,Male,65,,3,Manufacturing Director,2,Married,10976,15813,3,Y,No,18,,2,80,,23,4,3,3,2,1,
788,28,No,Travel_Rarely,857,Research & Development,10,3,Other,1,1097,3,Female,59,3,2,Research Scientist,3,,3660,7909,3,Y,,,3,4,80,0,,4,4,8,7,1,7
789,44,Yes,Travel_Rarely,1376,Human Resources,1,2,,1,1098,2,Male,91,2,3,,1,,10482,2326,9,Y,No,14,3,4,80,1,24,1,3,20,6,3,
790,33,No,,654,Research & Development,5,3,Life Sciences,1,1099,4,Male,,2,3,Healthcare Representative,4,,7119,21214,4,Y,,15,3,3,80,1,,2,3,3,2,,2
791,35,Yes,Travel_Rarely,1204,Sales,4,,,1,1100,4,Male,86,,,Sales Executive,1,Single,9582,10333,0,Y,Yes,,4,1,80,0,9,2,3,8,7,,7
792,33,Yes,,827,Research & Development,29,4,Medical,1,1101,1,Female,54,2,2,Research Scientist,3,Single,,3129,1,Y,No,22,4,2,80,,14,4,3,13,7,3,8
793,28,No,Travel_Rarely,,Research & Development,,2,Life Sciences,1,,,Male,,,1,,,Divorced,2207,22482,1,Y,,16,3,4,80,1,4,5,2,4,,2,2
794,34,No,,618,Research & Development,3,1,,1,,1,Male,45,3,,Healthcare Representative,,Single,,22266,,Y,No,17,3,3,80,,,1,2,,,,4
795,37,No,Travel_Rarely,309,Sales,10,4,Life Sciences,1,1105,4,Female,88,2,2,,4,Divorced,6694,,2,Y,Yes,14,3,3,,3,,5,,1,,0,
796,,Yes,Travel_Rarely,1219,Research & Development,4,1,Technical Degree,,1106,4,Male,32,3,1,Laboratory Technician,4,Married,3691,,1,Y,,15,3,2,80,1,7,3,4,7,7,5,6
797,,Yes,Travel_Rarely,1330,,21,3,Medical,,,,Male,37,3,1,Laboratory Technician,3,,,19373,1,Y,No,20,4,3,80,1,1,0,2,1,,,
798,33,Yes,Travel_Rarely,1017,Research & Development,25,3,Medical,1,1108,1,Male,,2,1,Research Scientist,2,Single,,2993,4,Y,Yes,20,4,2,,0,5,0,3,,2,2,2
799,42,No,Travel_Rarely,,Research & Development,2,2,Medical,1,,4,Male,35,3,4,Manager,1,Married,17665,,0,Y,No,,,4,80,1,,3,3,22,6,13,7
800,28,Yes,Travel_Frequently,1009,Research & Development,1,3,Medical,1,1111,,,45,,1,,2,,2596,7160,1,Y,No,15,3,,80,2,,2,3,1,0,0,0
801,,Yes,Travel_Frequently,,Sales,1,,Other,,1113,4,,81,3,2,Sales Executive,3,Single,4728,17251,3,Y,Yes,14,3,4,80,0,,4,3,0,0,0,0
802,33,No,Travel_Frequently,,,7,3,Life Sciences,1,1114,4,,30,3,2,Sales Executive,2,Married,4302,13401,,Y,No,17,3,3,80,1,4,3,,3,2,0,2
803,34,No,Non-Travel,697,Research & Development,3,4,Life Sciences,1,1115,3,Male,40,2,,,4,Married,2979,22478,,Y,,17,3,4,,3,6,2,3,,0,0,
804,48,No,Non-Travel,1262,Research & Development,1,4,Medical,1,,1,Male,,4,,Manager,4,Single,16885,16154,2,Y,No,22,,3,80,0,27,,2,,4,2,1
805,,No,Non-Travel,1050,Sales,9,4,Life Sciences,1,1117,,,65,2,2,,,Married,,17970,1,Y,,13,3,4,80,1,15,2,3,,10,,12
806,52,No,Travel_Rarely,994,Research & Development,7,4,Life Sciences,1,1118,2,Male,87,3,3,,2,Single,10445,15322,7,Y,No,19,,4,80,0,18,4,,8,6,,0
807,38,No,Travel_Rarely,770,Sales,10,4,Marketing,1,1119,3,Male,73,2,3,Sales Executive,3,Divorced,,5569,,Y,,14,3,,80,,9,2,3,8,7,2,7
808,29,No,Travel_Rarely,1107,Research & Development,28,4,Life Sciences,,1120,3,Female,,3,1,Research Scientist,,Divorced,2514,26968,4,Y,No,,,1,80,1,11,,3,,,1,7
809,28,No,Travel_Rarely,,Research & Development,3,3,Medical,1,1121,,Female,93,3,,Manufacturing Director,,Divorced,7655,8039,0,Y,No,17,3,,,,10,3,2,9,7,1,7
810,46,No,Travel_Rarely,406,Sales,3,1,Marketing,,1124,1,Male,52,3,4,Manager,3,Married,17465,15596,3,Y,No,,3,,80,1,23,3,,,9,4,
811,38,No,Travel_Rarely,130,,2,2,Marketing,,,,,32,3,3,Sales Executive,2,,,20619,,Y,No,16,3,3,80,0,,2,3,1,0,0,0
812,43,No,Travel_Frequently,1082,,27,3,Life Sciences,1,1126,3,Female,83,,,Manufacturing Director,1,Married,10820,11535,,Y,No,11,3,3,80,1,18,,3,,7,0,1
813,39,Yes,Travel_Frequently,203,Research & Development,2,3,Life Sciences,,1127,1,Male,84,3,4,Healthcare Representative,4,Divorced,12169,13547,,Y,No,11,3,4,80,,21,4,3,18,7,11,
814,40,No,,1308,,14,3,Medical,1,1128,3,Male,44,2,,Research Director,3,Single,19626,,1,Y,No,14,3,1,,,,2,4,20,7,,9
815,21,No,,984,Research & Development,1,,Technical Degree,1,1131,4,Female,70,2,,Research Scientist,2,Single,2070,25326,1,Y,Yes,11,3,3,80,0,2,6,,2,2,2,2
816,39,No,Non-Travel,439,,9,3,Life Sciences,1,1132,,Male,70,3,,Laboratory Technician,2,Single,6782,,9,Y,No,15,,3,,0,,2,2,5,,0,3
817,36,No,,217,Research & Development,,,Life Sciences,1,1133,1,Male,78,3,,Manufacturing Director,4,Single,7779,23238,,Y,No,20,4,1,80,0,18,0,3,,9,0,9
818,31,No,Travel_Frequently,793,Sales,20,3,Life Sciences,,,,Male,,,1,Sales Representative,,Married,2791,21981,,Y,No,12,3,1,,1,3,4,3,2,2,2,
819,28,No,Travel_Rarely,1451,Research & Development,2,1,Life Sciences,1,1136,1,,67,2,1,Research Scientist,2,,3201,19911,0,Y,No,17,3,,80,,,2,,,3,0,4
820,35,No,Travel_Frequently,,,11,2,Marketing,1,1137,,Male,54,3,2,Sales Executive,4,Divorced,,18500,,Y,No,11,3,4,80,1,5,3,3,5,2,,
821,49,No,Travel_Rarely,174,Sales,8,4,Technical Degree,1,1138,4,Male,56,2,4,,2,Married,13120,11879,6,,No,,,2,80,1,22,3,,9,8,2,3
822,34,No,Travel_Frequently,1003,Research & Development,2,2,Life Sciences,,1140,4,Male,,3,,Manufacturing Director,,Single,,15834,2,Y,No,11,3,4,,,5,,2,3,2,,2
823,,No,Travel_Frequently,490,Research & Development,10,3,Life Sciences,1,1143,4,Female,61,3,1,Research Scientist,2,Divorced,3291,17940,0,,,14,3,,80,,8,2,2,7,5,1,
824,42,No,Travel_Rarely,188,Research & Development,29,3,Medical,,1148,2,Male,56,,2,Laboratory Technician,4,Single,4272,9558,4,Y,,19,,1,80,0,,,3,1,0,0,0
825,29,No,Travel_Rarely,718,Research & Development,8,,Medical,1,,2,Male,,,2,Manufacturing Director,4,Married,5056,17689,1,Y,Yes,15,3,3,80,,10,,2,10,7,1,2
826,38,No,Travel_Rarely,433,Human Resources,1,3,,1,1152,,Male,37,4,,,3,,2844,6004,1,,No,13,3,4,80,1,7,2,,7,,,0
827,28,No,Travel_Frequently,773,Research & Development,,3,Life Sciences,1,,3,,39,2,1,Research Scientist,,Divorced,2703,22088,1,Y,,,3,,80,,3,,,3,,0,2
828,,Yes,Non-Travel,247,Research & Development,8,1,Medical,1,1156,3,Male,80,3,1,Laboratory Technician,3,Single,1904,13556,,Y,No,12,,4,,0,0,0,3,0,0,,0
829,,Yes,Travel_Rarely,,,9,4,Marketing,,1157,1,Female,77,,2,Sales Executive,1,,,18385,0,Y,Yes,17,,1,80,,6,3,3,,2,0,3
830,41,No,Travel_Rarely,167,Research & Development,12,4,,1,1158,2,Male,46,3,1,Laboratory Technician,,Married,,9051,3,,,11,,1,,1,6,,3,,0,0,0
831,,Yes,Travel_Frequently,874,,15,3,Medical,1,1160,3,Male,72,3,,Laboratory Technician,3,Married,2610,,1,Y,No,12,3,3,80,1,2,5,2,2,2,2,2
832,,No,Travel_Rarely,,Research & Development,25,2,Medical,1,,3,Female,52,2,2,Healthcare Representative,4,Divorced,5731,17171,7,Y,No,13,3,3,80,,,2,3,6,2,1,3
833,27,No,Travel_Rarely,199,Research & Development,6,3,Life Sciences,1,,4,Male,55,2,,Research Scientist,,Married,2539,7950,1,Y,No,13,3,,80,1,4,0,3,4,2,,2
834,,No,Travel_Rarely,1400,Sales,9,1,Life Sciences,1,,2,Female,70,,,Sales Executive,3,Married,5714,5829,1,Y,No,,4,1,,0,,3,2,6,5,1,3
835,35,No,Travel_Rarely,,Human Resources,8,4,Technical Degree,,1164,3,,100,3,1,Human Resources,3,Single,4323,,1,,No,17,3,2,80,0,6,,1,,4,1,4
836,29,Yes,Travel_Rarely,,,23,,Life Sciences,1,1165,4,Female,45,2,3,,1,Married,7336,11162,,Y,,13,3,1,80,1,11,3,1,11,8,3,10
837,40,No,Travel_Frequently,593,Research & Development,9,,Medical,1,,2,Female,88,3,3,Research Director,,Single,13499,13782,9,Y,No,17,3,3,80,,20,,,18,7,2,
838,,Yes,Travel_Frequently,,,12,,Life Sciences,,1167,,Male,44,3,,Sales Executive,1,Single,13758,2447,,Y,Yes,12,3,,,0,22,2,2,21,9,13,14
839,42,No,Travel_Rarely,647,,4,,,1,1171,2,,45,,2,,1,Single,,2253,7,Y,No,13,3,4,80,0,9,3,,6,4,1,5
840,35,No,,982,Research & Development,1,,Medical,,1172,4,Male,58,2,1,,,Married,2258,,,Y,No,12,,2,,1,10,,3,,0,1,7
841,,No,Travel_Rarely,477,Research & Development,24,3,,1,1173,4,,49,3,1,Laboratory Technician,2,Single,3597,6409,8,Y,No,22,,4,80,0,6,2,,4,,1,
842,28,Yes,Travel_Rarely,1485,,12,1,,,,3,Female,79,3,1,Laboratory Technician,4,Married,2515,22955,1,Y,Yes,,3,,80,0,1,4,2,1,1,0,0
843,,No,Travel_Rarely,1384,Research & Development,3,4,Medical,,1177,1,Male,,,1,Laboratory Technician,4,Married,,13421,1,Y,No,,4,2,,1,8,,,8,7,0,7
844,30,No,Travel_Rarely,,Sales,10,3,Marketing,1,1179,3,Male,,2,2,Sales Executive,3,,6578,2706,1,Y,No,18,3,1,80,1,10,3,3,10,3,,
845,40,No,Travel_Frequently,,Research & Development,,,Medical,1,1180,3,Female,92,2,2,Research Scientist,,Married,,21203,,Y,,13,3,4,80,1,16,3,1,,1,0,
846,35,No,Travel_Rarely,819,Research & Development,2,,Life Sciences,,1182,3,,44,2,3,,2,,10274,19588,2,Y,No,18,,2,80,1,15,,4,,7,6,4
847,34,No,Travel_Frequently,669,Research & Development,1,3,Medical,1,1184,,Male,97,2,2,Healthcare Representative,1,Single,5343,25755,0,Y,,20,,3,80,0,,3,3,,9,4,9
848,,No,Travel_Frequently,636,Research & Development,4,4,Other,,1185,,,,2,1,Laboratory Technician,4,Married,2376,26537,1,Y,No,13,3,2,80,1,,,4,2,,2,2
849,43,Yes,Travel_Rarely,1372,Sales,9,3,Marketing,1,1188,1,Female,85,1,2,Sales Executive,3,,,9489,8,,No,13,3,,80,,7,,,4,3,1,3
850,32,No,Non-Travel,,Sales,2,1,Life Sciences,1,1190,3,Female,76,3,,Sales Representative,,Divorced,,,1,Y,No,12,,,80,3,1,3,3,1,0,,0
851,56,No,Travel_Rarely,718,Research & Development,4,4,Technical Degree,1,1191,,Female,92,3,,Manager,1,Divorced,,18575,4,Y,No,13,3,4,80,1,28,2,3,5,2,4,2
852,29,No,Travel_Rarely,1401,Research & Development,6,1,Medical,,,2,Female,54,,1,Laboratory Technician,4,Married,3131,26342,1,Y,No,13,3,1,,,10,5,3,,8,0,8
853,19,No,Travel_Rarely,645,Research & Development,9,,Life Sciences,1,,,Male,54,3,1,Research Scientist,1,,2552,7172,1,Y,No,25,4,3,80,0,,4,3,1,1,0,0
854,45,No,Travel_Rarely,1457,Research & Development,7,3,Medical,1,1195,1,,83,3,1,Research Scientist,3,Married,4477,20100,4,Y,Yes,19,3,3,,1,7,2,2,3,2,0,
855,37,No,Travel_Rarely,977,Research & Development,1,3,Life Sciences,1,1196,4,Female,56,2,2,Manufacturing Director,,,6474,9961,1,Y,,13,,2,80,,14,,2,14,8,3,11
856,20,No,,805,Research & Development,3,3,Life Sciences,1,,,Male,87,2,1,Laboratory Technician,3,Single,,12828,1,Y,No,,3,1,,0,2,2,2,2,2,1,2
857,44,Yes,,1097,Research & Development,10,4,Life Sciences,1,,3,Male,96,3,1,Research Scientist,3,Single,2936,10826,,Y,Yes,11,3,3,,0,6,4,,6,,0,2
858,53,No,Travel_Rarely,,Research & Development,7,2,Medical,,1201,4,Female,50,,5,,3,Divorced,18606,18640,,Y,No,18,,2,80,1,26,6,3,7,7,4,7
859,29,No,,942,,,1,Life Sciences,1,1202,2,Female,69,,1,,4,,,26933,,,Yes,18,3,1,,,,,2,5,4,1,3
860,22,Yes,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,,1203,3,Male,48,2,1,Research Scientist,4,,2853,4223,0,Y,Yes,11,3,,80,1,,5,3,0,0,,0
861,46,No,Travel_Rarely,1402,Sales,,3,Marketing,1,1204,3,Female,69,3,4,Manager,1,Married,17048,24097,8,,,23,4,1,80,0,28,2,3,26,,15,9
862,44,No,Non-Travel,111,Research & Development,,3,Life Sciences,,1206,4,Male,74,1,1,Research Scientist,3,Single,,4279,2,,No,13,3,4,80,0,6,3,3,0,0,0,0
863,33,No,,147,Human Resources,2,,Human Resources,1,1207,2,,99,3,1,,3,Married,3600,8429,1,Y,,13,3,4,80,1,5,2,3,5,,1,
864,,Yes,Non-Travel,906,Research & Development,5,2,Life Sciences,1,,1,,95,,,Research Scientist,1,Divorced,2107,20293,6,Y,No,,3,,80,,5,2,1,1,,0,
865,,No,Travel_Rarely,1329,Sales,29,4,,1,1211,3,Male,,3,2,Sales Executive,1,Divorced,4115,13192,8,Y,,19,,,80,,8,3,3,4,3,0,3
866,40,No,Travel_Frequently,1184,Sales,2,4,Medical,,1212,2,Male,62,,2,,2,Married,4327,25440,5,Y,No,12,3,4,80,3,,2,3,0,0,0,0
867,50,No,Travel_Frequently,1421,Research & Development,,3,Medical,1,1215,,Female,,,4,Manager,1,Married,17856,9490,2,Y,No,22,4,,80,1,32,,3,2,2,2,
868,28,No,Travel_Rarely,1179,Research & Development,19,4,Medical,1,1216,,,,2,1,,1,Married,3196,,1,,No,,3,,80,3,6,2,3,6,,3,3
869,46,No,Travel_Rarely,,Research & Development,,2,Life Sciences,1,1217,4,Male,52,3,5,Research Director,2,Married,19081,10849,5,Y,,11,3,1,80,,25,2,3,4,2,0,3
870,,No,Travel_Rarely,1361,Sales,17,4,Life Sciences,1,1218,3,Male,94,3,,Sales Executive,1,Married,8966,21026,3,Y,Yes,15,3,4,80,3,15,2,3,,7,1,7
871,24,Yes,Travel_Rarely,984,Research & Development,17,2,Life Sciences,,1219,4,Female,97,3,1,Laboratory Technician,2,Married,2210,3372,,,No,13,3,,,,1,3,1,1,,0,0
872,,No,Travel_Frequently,1146,Sales,25,3,Medical,1,1220,2,Female,82,3,2,Sales Executive,3,Married,4539,4905,1,Y,No,12,3,1,80,,10,3,2,10,7,0,1
873,36,No,Travel_Rarely,917,Research & Development,6,4,Life Sciences,1,1221,3,Male,60,,,Laboratory Technician,3,,2741,,1,,No,14,3,3,80,1,7,4,3,7,7,1,7
874,,No,Travel_Rarely,853,Research & Development,,4,,1,1224,3,,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,,No,13,3,1,,3,10,4,2,,7,8,9
875,44,No,Travel_Rarely,200,,29,4,Other,1,1225,4,Male,32,,2,Research Scientist,,,4541,7744,,Y,No,25,4,2,80,0,20,3,3,,11,13,
876,,No,Travel_Rarely,,Sales,21,3,Marketing,1,1226,3,Male,43,,1,Sales Representative,4,Single,2678,5050,1,Y,No,17,,4,80,,,2,3,2,1,2,
877,46,No,Travel_Rarely,150,Research & Development,,4,,,1228,4,Male,60,3,,,4,Divorced,7379,17433,2,Y,No,11,,,80,,12,,2,6,3,1,
878,42,No,Non-Travel,179,Human Resources,2,5,Medical,1,1231,4,Male,79,4,2,Human Resources,1,Married,,,7,,No,,3,1,80,1,10,,,4,3,0,3
879,60,No,Travel_Rarely,696,Sales,7,4,Marketing,1,,2,Male,52,4,,Sales Executive,,Divorced,,10893,0,Y,,18,3,2,80,,12,3,3,11,7,1,
880,32,No,Travel_Frequently,,,,3,Other,,,3,Female,77,2,1,Laboratory Technician,2,Married,,7331,,Y,No,20,4,3,80,1,2,2,3,,2,2,
881,32,No,Travel_Frequently,,Research & Development,2,2,,1,1235,,Female,,,2,Research Scientist,3,Single,4998,2338,4,Y,Yes,14,3,4,,0,,,3,8,7,0,7
882,36,No,Travel_Rarely,,,,3,Technical Degree,1,1237,3,Female,77,1,3,Manufacturing Director,1,Divorced,,4235,2,Y,Yes,21,4,,80,,17,2,3,7,,7,7
883,33,No,Travel_Rarely,117,,,3,,1,1238,1,,60,3,1,Research Scientist,4,,2781,6311,0,Y,No,13,3,2,80,1,,5,,14,10,4,10
884,40,No,,107,Sales,,3,,1,1239,2,Female,,2,,Sales Executive,2,Divorced,6852,11591,7,Y,No,12,3,,80,,,2,4,5,1,,3
885,25,No,,1356,Sales,10,,Life Sciences,1,1240,3,Male,,3,,Sales Executive,,Single,4950,20623,0,Y,No,14,3,2,80,0,5,4,3,4,3,1,1
886,,No,Travel_Rarely,1465,Research & Development,1,3,,1,1241,,Male,63,3,1,Research Scientist,2,Married,3579,9369,0,Y,Yes,21,,1,,1,12,2,3,,9,,
887,42,No,Travel_Frequently,458,Research & Development,26,5,Medical,,1242,1,Female,60,3,3,,1,Married,13191,,3,Y,Yes,17,3,,80,0,20,6,3,1,0,0,0
888,35,No,Non-Travel,1212,Sales,8,2,Marketing,1,1243,3,Female,78,2,3,Sales Executive,4,,10377,13755,4,Y,Yes,11,3,2,80,1,16,6,,13,2,4,12
889,27,No,,,Research & Development,,3,Life Sciences,,,1,Male,42,3,,Research Scientist,1,Married,,,1,Y,,14,3,4,80,2,9,3,2,9,,6,8
890,54,No,Travel_Frequently,966,Research & Development,1,4,Life Sciences,1,,4,,53,,3,Manufacturing Director,3,Divorced,10502,9659,7,Y,No,,3,1,80,,33,2,1,5,,,4
891,44,No,Travel_Rarely,1117,Research & Development,2,,Life Sciences,1,1246,1,,,4,,,4,,,19982,1,,,13,3,4,,1,10,5,3,,5,7,7
892,19,Yes,Non-Travel,,,10,3,Medical,1,1248,1,Female,,2,1,Research Scientist,2,,,6148,1,Y,Yes,25,4,2,,0,1,,4,1,,,0
893,29,No,Travel_Rarely,1010,Research & Development,1,3,Life Sciences,1,1249,,Female,97,,1,,,Divorced,3760,5598,1,Y,,,3,1,80,3,3,5,3,,,,2
894,54,No,Travel_Rarely,685,Research & Development,3,,Life Sciences,1,1250,,,,3,4,Research Director,4,Married,17779,23474,,Y,No,14,3,1,80,0,36,2,,10,9,0,9
895,31,No,,1332,,11,2,,1,1251,3,Male,80,3,,Healthcare Representative,1,,6833,,1,Y,,12,3,4,80,,6,2,2,6,5,0,
896,,No,Travel_Rarely,,Research & Development,,3,Medical,1,1252,3,Female,96,2,2,Healthcare Representative,,Single,6812,17198,1,,,19,3,2,80,0,10,,3,10,9,1,8
897,59,No,Travel_Rarely,326,Sales,3,3,Life Sciences,1,1254,3,Female,48,,,Sales Executive,,Single,5171,16490,,Y,No,17,3,4,80,,13,2,3,6,1,0,5
898,43,No,Travel_Rarely,920,Research & Development,3,3,,1,1255,3,Male,,1,5,Research Director,4,,19740,18625,3,Y,No,14,3,,80,,,2,3,8,7,0,7
899,49,No,Travel_Rarely,1098,,4,2,Medical,1,1256,1,Male,85,,5,Manager,3,Married,18711,12124,,Y,No,13,3,3,80,1,,,4,,0,0,0
900,36,No,,469,Research & Development,,3,Technical Degree,1,1257,3,Male,,,1,Research Scientist,2,Married,3692,9256,1,Y,No,,3,,80,0,,2,2,11,10,,
